client_id,full_name,nationality,kyc_status,onboarding_date,email,risk_rating
CLI0101,Client_101,BE,,2023-09-22,client_100@email.com,HIGH
CLI0102,Client_102,PT,APPROVED,2021-11-07,client_101@email.com,LOW
CLI0103,Client_103,PT,,2023-06-30,client_102@email.com,MEDIUM
CLI0104,Client_104,UK,APPROVED,2021-10-04,client_103@email.com,
CLI0105,Client_105,,REJECTED,2023-09-20,client_104@email.com,
CLI0106,Client_106,CH,,2024-10-02,client_105@email.com,HIGH
CLI0107,Client_107,,,2020-09-12,client_106@email.com,MEDIUM
CLI0108,Client_108,CH,,2024-01-14,client_107@email.com,
CLI0109,Client_109,US,EXPIRED,2021-09-07,client_108@email.com,
CLI0110,Client_110,BE,EXPIRED,2022-11-04,client_109@email.com,LOW
CLI0111,Client_111,DE,PENDING,2021-09-25,client_110@email.com,
CLI0112,Client_112,PT,EXPIRED,2023-09-27,client_111@email.com,HIGH
CLI0113,Client_113,IT,PENDING,2022-04-16,client_112@email.com,
CLI0114,Client_114,FR,EXPIRED,2021-10-30,client_113@email.com,HIGH
CLI0115,Client_115,LU,REJECTED,2022-04-04,client_114@email.com,HIGH
CLI0116,Client_116,FR,PENDING,2023-11-28,client_115@email.com,LOW
CLI0117,Client_117,DE,EXPIRED,2021-08-28,client_116@email.com,MEDIUM
CLI0118,Client_118,DE,REJECTED,2023-02-09,client_117@email.com,HIGH
CLI0119,Client_119,CH,EXPIRED,2020-09-17,client_118@email.com,
CLI0120,Client_120,,APPROVED,2021-01-27,client_119@email.com,
CLI0121,Client_121,FR,APPROVED,2022-05-11,client_120@email.com,HIGH
CLI0122,Client_122,CH,REJECTED,2023-09-23,client_121@email.com,
CLI0123,Client_123,CH,,2022-02-15,client_122@email.com,LOW
CLI0124,Client_124,,,2023-10-19,client_123@email.com,
CLI0125,Client_125,IT,APPROVED,2024-03-12,client_124@email.com,LOW
CLI0126,Client_126,PT,APPROVED,2020-12-22,client_125@email.com,HIGH
CLI0127,Client_127,UK,,2023-06-14,client_126@email.com,HIGH
CLI0128,Client_128,PT,PENDING,2023-03-11,client_127@email.com,HIGH
CLI0129,Client_129,LU,,2021-09-08,,LOW
CLI0130,Client_130,FR,EXPIRED,2022-04-11,client_129@email.com,
CLI0131,Client_131,PT,PENDING,2023-01-27,client_130@email.com,LOW
CLI0132,Client_132,UK,EXPIRED,2024-09-03,,
CLI0133,Client_133,US,APPROVED,2020-01-01,client_132@email.com,
CLI0134,Client_134,FR,PENDING,2021-09-14,,LOW
CLI0135,Client_135,UK,EXPIRED,2021-08-10,client_134@email.com,MEDIUM
CLI0136,Client_136,CH,EXPIRED,2021-03-06,client_135@email.com,HIGH
CLI0137,Client_137,DE,PENDING,2022-05-30,client_136@email.com,
CLI0138,Client_138,IT,REJECTED,2024-05-28,client_137@email.com,
CLI0139,Client_139,LU,,2023-04-02,client_138@email.com,LOW
CLI0140,Client_140,UK,EXPIRED,2023-05-27,client_139@email.com,MEDIUM
CLI0141,Client_141,PT,,2023-09-02,client_140@email.com,HIGH
CLI0142,Client_142,DE,,2021-10-21,client_141@email.com,MEDIUM
CLI0143,Client_143,PT,APPROVED,2022-08-10,client_142@email.com,HIGH
CLI0144,Client_144,FR,,2022-06-23,client_143@email.com,
CLI0145,Client_145,UK,EXPIRED,2022-06-24,client_144@email.com,
CLI0146,Client_146,PT,APPROVED,2023-10-15,client_145@email.com,LOW
CLI0147,Client_147,,PENDING,2021-03-13,client_146@email.com,LOW
CLI0148,Client_148,BE,EXPIRED,2022-11-12,client_147@email.com,MEDIUM
CLI0149,Client_149,DE,APPROVED,2022-08-27,client_148@email.com,MEDIUM
CLI0150,Client_150,US,APPROVED,2024-06-13,client_149@email.com,HIGH
CLI0151,Client_151,DE,,2024-06-18,client_150@email.com,LOW
CLI0152,Client_152,PT,PENDING,2024-02-16,client_151@email.com,
CLI0153,Client_153,PT,EXPIRED,2020-12-13,client_152@email.com,LOW
CLI0154,Client_154,LU,EXPIRED,2023-09-11,client_153@email.com,MEDIUM
CLI0155,Client_155,,,2020-06-22,client_154@email.com,LOW
CLI0156,Client_156,US,PENDING,2021-08-04,client_155@email.com,
CLI0157,Client_157,IT,EXPIRED,2022-11-21,client_156@email.com,LOW
CLI0158,Client_158,LU,PENDING,2023-09-21,client_157@email.com,MEDIUM
CLI0159,Client_159,FR,EXPIRED,2023-07-20,client_158@email.com,
CLI0160,Client_160,US,,2023-06-22,client_159@email.com,HIGH
CLI0161,Client_161,UK,REJECTED,2021-11-17,client_160@email.com,HIGH
CLI0162,Client_162,BE,EXPIRED,2020-07-10,client_161@email.com,
CLI0163,Client_163,LU,APPROVED,2024-08-03,client_162@email.com,
CLI0164,Client_164,BE,APPROVED,2024-03-18,client_163@email.com,
CLI0165,Client_165,,REJECTED,2021-04-26,client_164@email.com,MEDIUM
CLI0166,Client_166,FR,EXPIRED,2023-10-09,client_165@email.com,
CLI0167,Client_167,FR,APPROVED,2021-09-27,client_166@email.com,MEDIUM
CLI0168,Client_168,IT,APPROVED,2021-04-05,client_167@email.com,
CLI0169,Client_169,FR,EXPIRED,2024-07-09,client_168@email.com,MEDIUM
CLI0170,Client_170,PT,PENDING,2021-02-11,client_169@email.com,MEDIUM
CLI0171,Client_171,DE,EXPIRED,2020-10-28,client_170@email.com,LOW
CLI0172,Client_172,DE,PENDING,2020-02-20,client_171@email.com,HIGH
CLI0173,Client_173,IT,REJECTED,2020-04-04,client_172@email.com,
CLI0174,Client_174,PT,,2021-05-16,client_173@email.com,HIGH
CLI0175,Client_175,DE,REJECTED,2022-08-31,client_174@email.com,HIGH
CLI0176,Client_176,UK,,2023-06-05,client_175@email.com,LOW
CLI0177,Client_177,PT,APPROVED,2024-10-06,client_176@email.com,HIGH
CLI0178,Client_178,,APPROVED,2024-04-22,,HIGH
CLI0179,Client_179,CH,APPROVED,2020-05-29,client_178@email.com,
CLI0180,Client_180,BE,PENDING,2022-07-21,client_179@email.com,MEDIUM
CLI0181,Client_181,PT,,2022-04-28,client_180@email.com,
CLI0182,Client_182,BE,APPROVED,2024-12-19,client_181@email.com,
CLI0183,Client_183,UK,EXPIRED,2023-07-13,client_182@email.com,HIGH
CLI0184,Client_184,CH,,2023-03-24,client_183@email.com,HIGH
CLI0185,Client_185,US,,2021-02-02,client_184@email.com,
CLI0186,Client_186,IT,PENDING,2024-01-11,client_185@email.com,
CLI0187,Client_187,PT,REJECTED,2023-11-27,client_186@email.com,HIGH
CLI0188,Client_188,IT,PENDING,2022-02-25,client_187@email.com,MEDIUM
CLI0189,Client_189,FR,APPROVED,2022-10-09,client_188@email.com,MEDIUM
CLI0190,Client_190,BE,EXPIRED,2022-03-29,client_189@email.com,
CLI0191,Client_191,BE,EXPIRED,2021-05-14,client_190@email.com,MEDIUM
CLI0192,Client_192,FR,APPROVED,2020-10-29,client_191@email.com,
CLI0193,Client_193,US,EXPIRED,2023-09-05,client_192@email.com,LOW
CLI0194,Client_194,LU,PENDING,2023-11-09,client_193@email.com,HIGH
CLI0195,Client_195,,PENDING,2020-01-12,client_194@email.com,
CLI0196,Client_196,PT,APPROVED,2024-03-17,client_195@email.com,
CLI0197,Client_197,BE,EXPIRED,2024-10-28,client_196@email.com,
CLI0198,Client_198,,,2024-04-26,client_197@email.com,MEDIUM
CLI0199,Client_199,BE,REJECTED,2024-12-18,client_198@email.com,
CLI0200,Client_200,LU,,2020-08-06,client_199@email.com,LOW
CLI0096,Client_96,CH,REJECTED,2023-10-05,,HIGH
CLI0016,Client_16,BE,,2022-04-23,client_15@email.com,
CLI0031,Client_31,US,APPROVED,2024-10-24,client_30@email.com,
CLI0159,Client_159,FR,EXPIRED,2023-07-20,client_158@email.com,
CLI0129,Client_129,LU,,2021-09-08,,LOW
